t_index	term	df
6897	lawyer	72
6898	lax	7
6899	laxiti	2
6900	laxman	3
6901	lay	24
6902	layer	3
6903	layoff	2
6904	layov	3
6905	lazarevac	1
6906	lazi	1
6907	lazili	1
6908	lazio	15
6909	lazo	1
6910	le	8
6911	lead	179
6912	leadem	1
6913	leader	300
6914	leadership	34
6915	leagu	4
6916	leak	15
6917	lean	7
6918	leap	4
6919	leapahead	1
6920	learn	59
6921	learnt	2
6922	leas	1
6923	least	209
6924	leather	2
6925	leav	195
6926	leavenworth	2
6927	leaveorstay	3
6928	leavitt	1
6929	lebanes	3
6930	lebanon	12
6931	lectur	2
6932	led	118
6933	lee	13
6934	leechinfest	4
6935	lefortovo	14
6936	lefrotovo	1
6937	left	245
6938	leftist	20
6939	leftlean	6
6940	leftov	4
6941	leg	37
6942	legaci	12
6943	legal	66
6944	legend	5
6945	legendari	2
6946	legion	1
6947	legisl	36
6948	legislatur	19
6949	legitim	12
6950	legitimaci	11
6951	lehan	1
6952	lehrer	3
6953	leicest	1
6954	leidig	1
6955	lend	11
6956	lender	2
6957	lendl	1
6958	length	8
6959	lengthi	9
6960	lenienc	4
6961	lenient	1
6962	leningradski	2
6963	lennard	1
6964	lent	1
6965	leon	5
6966	leonard	10
6967	leposava	1
6968	leprinc	1
6969	lesbian	1
6970	lesion	1
6971	lesley	1
6972	lesli	2
6973	less	93
6974	lessdamag	2
6975	lessen	1
6976	lesser	4
6977	lesson	12
6978	lessongiv	2
6979	lest	1
6980	let	116
6981	letdown	1
6982	lethal	2
6983	letter	75
6984	letterwrit	1
6985	letup	1
6986	leve	1
6987	level	94
6988	lever	3
6989	leverag	2
6990	lewi	1
6991	lewinski	3
6992	lexingtonfrankfort	4
6993	lg	1
6994	li	3
6995	liabil	1
6996	liar	5
6997	libbi	2
6998	liber	29
6999	liberia	3
7000	liberti	8
7001	libido	1
7002	librari	3
7003	libya	3
7004	libyan	3
7005	licens	19
7006	lid	1
7007	lida	1
7008	lie	45
7009	lieberman	26
7010	lien	1
7011	lieuten	14
7012	lieutenantcaptain	1
7013	life	132
7014	lifeless	1
7015	lifelong	1
7016	lifestyl	2
7017	lifetim	4
7018	lift	81
7019	light	45
7020	lightblu	1
7021	lightbrown	2
7022	lightbulb	1
7023	lighter	2
7024	lightheartedli	2
7025	lightli	4
7026	lightn	4
7027	like	347
7028	likelihood	3
7029	liken	1
7030	likin	2
7031	lilic	1
7032	lima	33
7033	limb	12
7034	lime	4
7035	limit	37
7036	limousin	10
7037	limp	5
7038	limpli	1
7039	lincoln	7
7040	linda	6
7041	lindenhurt	2
7042	lindi	1
7043	lindsay	41
7044	lindsey	2
7045	line	156
7046	lineman	1
7047	liner	1
7048	lineup	4
7049	linger	16
7050	linguist	1
7051	link	83
7052	lion	1
7053	lionel	1
7054	lioniz	1
7055	lip	2
7056	lipent	1
7057	lippin	1
7058	lippold	18
7059	liquid	2
7060	lir	1
7061	lisa	17
7062	lisnard	2
7063	list	97
7064	listen	28
7065	lister	1
7066	lists	1
7067	lit	7
7068	liter	12
7069	literaci	1
7070	literatur	2
7071	lith	1
7072	liton	1
7073	litter	3
7074	littl	160
7075	littleknown	2
7076	litton	6
7077	littor	1
7078	liturgi	1
7079	liv	1
7080	live	215
7081	liveliest	1
7082	liver	1
7083	llagostera	3
7084	lleyton	7
7085	llosa	3
7086	lloyd	3
7087	lo	16
7088	load	50
7089	loader	5
7090	loan	22
7091	loayza	2
7092	lob	8
7093	lobbi	7
7094	lobbyist	1
7095	lobito	2
7096	local	100
7097	locani	2
7098	locat	49
7099	lock	19
7100	locker	1
7101	lockerbi	2
7102	lockup	1
7103	locu	1
7104	lodg	1
7105	loft	2
7106	lofti	2
7107	loftiest	1
7108	log	6
7109	logic	5
7110	logist	12
7111	logvinovich	1
7112	lohna	1
7113	loi	1
7114	loit	1
7115	london	26
7116	londonbas	7
7117	lone	8
7118	long	214
7119	longabandon	2
7120	longbitt	1
7121	longer	64
7122	longerterm	2
7123	longest	1
7124	longestsought	1
7125	longestsurviv	1
7126	longev	1
7127	longhair	1
7128	longplan	1
7129	longrang	1
7130	longreach	1
7131	longres	2
7132	longrul	2
7133	longshot	2
7134	longsimm	2
7135	longstand	8
7136	longsuff	1
7137	longsuppress	1
7138	longterm	9
7139	longtim	30
7140	look	219
7141	lookout	3
7142	lookse	1
7143	loom	7
7144	loop	1
7145	loophol	2
7146	loos	23
7147	looseend	1
7148	loosen	7
7149	looser	2
7150	loot	11
7151	lopez	6
7152	lopsid	4
7153	loran	6
7154	lord	6
7155	lore	1
7156	lorensen	1
7157	lorenzo	6
7158	lori	1
7159	loron	2
7160	lorri	1
7161	lose	79
7162	loser	7
7163	loss	62
7164	lost	150
7165	lot	132
7166	lott	6
7167	lotteri	1
7168	lou	1
7169	loud	13
7170	loudli	1
7171	loudspeak	9
7172	loug	1
7173	loui	65
7174	louisarea	1
7175	louisiana	6
7176	louisvil	4
7177	lourd	1
7178	lousi	3
7179	love	49
7180	low	36
7181	lowcut	2
7182	lowel	3
7183	lower	24
7184	lowerlevel	1
7185	lowerrank	1
7186	lowest	4
7187	lowestseed	1
7188	lowgrad	4
7189	lowincom	2
7190	lowkey	3
7191	lowlevel	6
7192	lowprofil	2
7193	lowtech	2
7194	loyal	16
7195	loyalist	17
7196	loyalti	8
7197	lsd	1
7198	lt	53
7199	ltd	2
7200	lubbock	1
7201	luci	1
7202	lucia	2
7203	luciano	1
7204	lucio	2
7205	luck	4
7206	lucki	20
7207	luckier	1
7208	luckiest	3
7209	lucr	2
7210	ludwig	1
7211	lugar	3
7212	luggag	1
7213	lui	8
7214	lukin	1
7215	lumber	3
7216	lumberjack	1
7217	luna	1
7218	lunch	12
7219	luncheon	3
7220	lunchtim	2
7221	lung	9
7222	luong	6
7223	lurid	1
7224	lurin	1
7225	lush	1
7226	lust	1
7227	luther	2
7228	lutheran	1
7229	luxembourg	3
7230	luxor	2
7231	luxuri	5
7232	lvador	1
7233	lyhoogatnytimescom	1
7234	lynch	2
7235	lyndon	8
7236	lynn	2
7237	lyon	1
7238	lyric	3
7239	m16	1
7240	mac	4
7241	macarthur	1
7242	macdonald	4
7243	maceda	11
7244	macedonia	2
7245	machaca	3
7246	machet	6
7247	machin	23
7248	machineri	4
7249	machinist	1
7250	mack	8
7251	macon	1
7252	mad	4
7253	madden	1
7254	maddock	1
7255	made	293
7256	madelein	42
7257	madelin	4
7258	madinat	1
7259	madison	3
7260	madix	1
7261	madra	4
7262	madrassah	1
7263	madrid	14
7264	maelstrom	1
7265	mafia	3
7266	magana	6
7267	maganbhai	4
7268	magazin	13
7269	mager	1
7270	maggi	1
7271	magic	2
7272	magistr	3
7273	magnanim	3
7274	magnat	3
7275	magnet	1
7276	magnifi	4
7277	magnific	1
7278	magnitogorsk	2
7279	magnitud	40
7280	magnitude57	1
7281	magnitude6	3
7282	magnitude76	7
7283	magnitude79	4
7284	magnu	14
7285	magnum	4
7286	mahajan	2
7287	mahatma	1
7288	mahesh	1
7289	mahmood	1
7290	mahmoud	1
7291	mahogani	1
7292	mahopac	1
7293	mahur	3
7294	maiden	1
7295	mail	14
7296	maim	3
7297	main	117
7298	mainagashev	1
7299	mainland	1
7300	mainli	17
7301	mainstay	1
7302	maintain	48
7303	mainten	19
7304	mainupl	1
7305	maj	5
7306	majdanpek	1
7307	majoli	6
7308	major	198
7309	majorityalbanian	1
7310	majorparti	1
7311	make	263
7312	maker	2
7313	makeshift	17
7314	maketa	1
7315	makeup	1
7316	malaysia	4
7317	malaysian	3
7318	malca	1
7319	malcolm	2
7320	male	2
7321	malevol	4
7322	malfunct	13
7323	malhotra	1
7324	mali	3
7325	malic	2
7326	maliss	1
7327	malivai	1
7328	mall	5
7329	malnourish	1
7330	malnutrit	1
7331	malon	1
7332	maloney	2
7333	mama	1
7334	mamad	2
7335	mamansk	1
7336	mammoth	2
7337	man	202
7338	manag	88
7339	manama	4
7340	mananga	1
7341	manannikova	1
7342	manau	1
7343	manchest	1
7344	mandat	9
7345	mandatori	7
7346	mandela	1
7347	maneuv	27
7348	mangal	1
7349	mangl	12
7350	mangu	1
7351	manhattan	10
7352	manhunt	27
7353	mani	345
7354	mania	3
7355	manifest	1
7356	manifold	1
7357	manind	1
7358	manipul	27
7359	manmad	2
7360	mann	4
7361	manner	15
7362	manorama	1
7363	mansfield	1
7364	mansi	1
7365	mansion	21
7366	mansiz	2
7367	mansoob	1
7368	mansoon	1
7369	mantra	4
7370	manual	2
7371	manuel	5
7372	manufactur	12
7373	maoist	2
7374	map	8
7375	maquiladora	1
7376	mar	20
7377	maradiaga	1
7378	maraniss	1
7379	marat	27
7380	marathon	6
7381	marbella	1
7382	marbl	2
7383	marblehal	1
7384	marburi	1
7385	marc	23
7386	marcela	1
7387	marcelo	2
7388	march	59
7389	marchenko	1
7390	marcher	6
7391	marci	1
7392	marco	7
7393	marg	1
7394	margaret	4
7395	margin	25
7396	margolin	2
7397	mari	27
7398	maria	13
7399	mariam	1
7400	mariana	2
7401	mariano	1
7402	marietta	3
7403	marija	1
7404	marijuana	5
7405	marilyn	4
7406	marin	39
7407	marineborn	1
7408	mario	9
7409	marit	2
7410	maritim	17
7411	marjanov	2
7412	mark	85
7413	market	33
7414	marketplac	2
7415	marko	11
7416	markov	10
7417	marlborough	2
7418	marlen	2
7419	marlin	15
7420	marlton	1
7421	marmian	1
7422	maroon	1
7423	marquez	15
7424	marrero	2
7425	marri	7
7426	marriag	5
7427	marroquin	1
7428	marrow	1
7429	marsha	1
7430	marshal	12
7431	marshallfor	1
7432	marshallreport	1
7433	marta	2
7434	martha	2
7435	marti	1
7436	martial	1
7437	martin	20
7438	martina	40
7439	martinez	8
7440	martyr	3
7441	martz	1
7442	marv	1
7443	marvel	2
7444	marxist	11
7445	maryland	3
7446	masia	1
7447	mask	5
7448	masondixon	3
7449	masonri	11
7450	masquerad	1
7451	mass	38
7452	massachusett	4
7453	massachusettss	1
7454	massacr	6
7455	masseus	1
7456	massi	2
7457	massif	1
7458	massiv	65
7459	mast	1
7460	master	10
7461	masteri	1
7462	mastermind	33
7463	mat	1
7464	match	68
7465	matchup	6
7466	mate	18
7467	materi	42
7468	math	1
7469	mathemat	3
7470	mathewson	2
7471	mathieu	1
7472	matic	4
7473	matt	1
7474	matter	76
7475	matteroffact	1
7476	matthew	8
7477	mattingli	1
7478	mattress	5
7479	matur	2
7480	mauresmo	6
7481	mauricio	1
7482	mauritania	4
7483	mauro	1
7484	mausoleum	3
7485	maxim	2
7486	maximalist	1
7487	maximum	20
7488	maximumsecur	17
7489	may	268
7490	mayb	39
7491	mayhem	3
7492	mayor	30
7493	maze	2
7494	mb	1
7495	mbeki	3
7496	mcalest	3
7497	mcarthur	1
7498	mcauliff	4
7499	mcavoy	1
7500	mccain	5
7501	mccarthi	2
7502	mcclean	1
7503	mcclure	1
7504	mccollum	7
7505	mccomb	1
7506	mcconnel	1
7507	mcdaniel	1
7508	mcdonald	2
7509	mcdoogl	3
7510	mcdougal	12
7511	mcduff	1
7512	mcduge	1
7513	mcenro	2
7514	mcgwire	2
7515	mci	1
7516	mcintosh	1
7517	mcnamara	1
7518	mcveigh	1
7519	md	6
7520	meager	2
7521	meal	6
7522	mean	99
7523	meaning	2
7524	meant	22
7525	meantim	14
7526	meanwhil	74
7527	measur	69
7528	meat	3
7529	mecca	2
7530	mechan	10
7531	mechanicsvil	3
7532	medal	10
7533	medalist	5
7534	media	68
7535	mediat	16
7536	medic	92
7537	medicar	13
7538	medicin	18
7539	medina	5
7540	medinat	2
7541	mediterranean	6
7542	medium	3
7543	mediumlevel	1
7544	mediumsecur	2
7545	meena	1
7546	meet	171
7547	megaphon	1
7548	meghann	3
7549	megrahi	1
7550	meguid	1
7551	mehta	3
7552	mei	1
7553	mel	67
7554	mela	3
7555	melancholi	1
7556	melbourn	28
7557	mele	7
7558	melissa	6
7559	mell	1
7560	mellman	1
7561	melros	1
7562	melt	3
7563	melvin	4
7564	member	195
7565	membership	4
7566	memento	1
7567	memo	5
7568	memoir	1
7569	memor	4
7570	memorandum	1
7571	memori	58
7572	memphi	1
7573	men	217
7574	menac	1
7575	mend	3
7576	menet	1
7577	mengistu	1
7578	mensch	1
7579	mental	15
7580	mention	37
7581	mentor	1
7582	menu	2
7583	mer	1
7584	merced	3
7585	merchant	6
7586	merci	6
7587	merciless	1
7588	mere	17
7589	merg	3
7590	merger	2
7591	meri	2
7592	merianov	1
7593	merit	13
7594	merlin	1
7595	mermonsk	1
7596	mermosk	1
7597	mern	1
7598	merri	2
7599	mershon	8
7600	mesh	2
7601	mesmer	1
7602	mess	17
7603	messag	44
7604	messeng	1
7605	met	80
7606	metal	32
7607	metalcutt	1
7608	metaledg	1
7609	metallurg	2
7610	metalsl	1
7611	metaphor	3
7612	meteorolog	6
7613	meteorologist	3
7614	meter	2
7615	method	15
7616	methodist	2
7617	methodolog	1
7618	methyl	1
7619	meticul	4
7620	metropolitan	1
7621	mexican	4
7622	mexico	34
7623	mi	2
7624	mia	12
7625	miami	13
7626	miamid	1
7627	miamidad	2
7628	miand	1
7629	micandinov	1
7630	mich	7
7631	michael	43
7632	michal	3
7633	michel	4
7634	michella	1
7635	michigan	18
7636	mickelson	3
7637	mickli	1
7638	microphon	2
7639	microscop	2
7640	micunov	1
7641	mid	5
7642	mid1980	1
7643	mid1990	10
7644	mid1996	1
7645	mid30	1
7646	mid40	1
7647	mid90	1
7648	midafternoon	6
7649	midday	12
7650	middecemb	2
7651	middl	125
7652	middleclass	8
7653	mideast	25
7654	midgulf	1
7655	midmorn	1
7656	midnight	19
7657	midnovemb	2
7658	midoctob	1
7659	midpoint	1
7660	midsect	3
7661	midseptemb	4
7662	midst	7
7663	midstream	1
7664	midway	2
7665	midweek	1
7666	midwest	3
7667	midwestern	1
7668	mif	1
7669	mift	1
7670	mig	1
7671	might	173
7672	mighti	3
7673	migrant	2
7674	migrat	5
7675	miguel	11
7676	mihailova	1
7677	mihajlov	3
7678	miiltari	1
7679	mik	1
7680	mike	22
7681	mikhail	8
7682	mikhailov	1
7683	mikilo	1
7684	miklaszeski	1
7685	miklaszewski	14
7686	miklaszweski	1
7687	milagro	2
7688	milan	10
7689	milanko	1
7690	milanov	2
7691	mild	7
7692	mildli	1
7693	mildr	1
7694	mile	129
7695	mileston	2
7696	milica	2
7697	milit	38
7698	militantli	2
7699	militar	3
7700	militari	281
7701	militarili	8
7702	militarystyl	1
7703	militarytim	1
7704	militia	2
7705	militiamen	1
7706	milivoj	1
7707	milivojev	1
7708	milk	1
7709	milken	17
7710	mill	4
7711	millenni	1
7712	millennium	4
7713	miller	6
7714	millimet	2
7715	million	191
7716	millionair	15
7717	milliondollar	1
7718	milo	3
7719	milosev	134
7720	miloseviccontrol	7
7721	milosov	1
7722	milovan	2
7723	milroy	1
7724	milutin	4
7725	milutinov	9
7726	milwauke	3
7727	min	1
7728	minaret	2
7729	minc	1
7730	mind	36
7731	minder	1
7732	mindset	1
7733	mine	46
7734	minefield	1
7735	mineinfest	1
7736	miner	20
7737	mineremov	1
7738	minesweep	1
7739	ming	1
7740	mingl	3
7741	minh	24
7742	miniatur	1
7743	minim	3
7744	minimum	13
7745	minist	171
7746	ministri	35
7747	minivan	1
7748	minn	3
7749	minneapoli	2
7750	minner	1
7751	minnesota	12
7752	minnesotan	1
7753	minor	39
7754	mint	1
7755	minu	4
7756	minus13	2
7757	minus7	2
7758	minut	92
7759	mira	3
7760	miracl	10
7761	miracul	6
7762	miranda	3
7763	mirco	1
7764	miriam	1
7765	mirjana	9
7766	mirko	2
7767	miroljub	1
7768	miroslav	2
7769	miroslava	2
7770	mirror	3
7771	misappli	2
7772	miscalcul	1
7773	misconduct	1
7774	misconstru	1
7775	miscu	1
7776	misde	2
7777	misdemeanor	8
7778	miser	4
7779	miseri	1
7780	misfir	3
7781	misfortun	1
7782	misguid	1
7783	misha	2
7784	mishandl	6
7785	mishap	1
7786	mishra	1
7787	misinform	2
7788	misl	2
7789	mislead	1
7790	mismanag	3
7791	mismatch	4
7792	misnom	1
7793	mispronounc	1
7794	misrepres	1
7795	misrepresent	1
7796	miss	151
7797	missil	52
7798	mission	55
7799	missionari	3
7800	mississippi	13
7801	missouri	67
7802	missourian	6
7803	missouricolumbia	1
7804	misspel	1
7805	misstat	3
7806	misstep	2
7807	mistak	32
7808	mistaken	3
7809	mistreat	4
7810	mistress	6
7811	mistrust	1
7812	misunderstand	3
7813	misunderstood	4
7814	misus	2
7815	mitch	5
7816	mitchel	7
7817	mitic	2
7818	mitig	5
7819	mitra	1
7820	mitrovica	1
7821	mittman	1
7822	mix	26
7823	mixtur	3
7824	mladic	2
7825	mladjan	3
7826	mo	5
7827	moammar	1
7828	moan	1
7829	mob	27
7830	mobil	17
7831	mock	5
7832	mockeri	1
7833	mode	4
7834	model	12
7835	moder	29
7836	modern	24
7837	modest	7
7838	modifi	6
7839	mofrt	1
7840	mogul	5
7841	moham	24
7842	mohammad	1
7843	mohm	1
7844	mohsen	3
7845	moin	1
7846	molass	1
7847	mold	1
7848	mole	1
7849	molest	1
7850	molotov	1
7851	mom	5
7852	momcilo	1
7853	moment	110
7854	momentbymo	1
7855	moments	1
7856	momentum	12
7857	momir	5
7858	mommi	1
7859	mona	1
7860	monarch	1
7861	monarchi	1
7862	monasteri	1
7863	monday	207
7864	monetari	13
7865	money	110
7866	moneylaund	6
7867	mong	1
7868	monger	1
7869	monica	32
7870	moniqu	1
7871	monitor	15
7872	monopol	1
7873	monoxid	2
7874	monsignor	1
7875	mont	1
7876	montana	9
7877	montecino	5
7878	montelo	1
7879	montenegrin	7
7880	montenegro	23
7881	montesino	41
7882	montesinoss	1
7883	montesseno	1
7884	montgomeri	2
7885	month	261
7886	monthli	1
7887	monthlong	1
7888	monticello	1
7889	montonegro	1
7890	montono	1
7891	montoursvil	1
7892	monument	3
7893	moo	1
7894	mood	19
7895	moolgd	1
7896	moon	1
7897	mooney	1
7898	mooni	1
7899	moor	35
7900	moorin	1
7901	moot	1
7902	mope	1
7903	moral	38
7904	morali	1
7905	morariu	4
7906	moratorium	5
7907	morelimit	1
7908	moreno	8
7909	moreov	2
7910	moresmo	1
7911	morgan	1
7912	morgu	8
7913	mori	5
7914	morison	1
7915	mork	1
7916	morn	138
7917	moroccan	1
7918	morocco	8
7919	moros	1
7920	morph	1
7921	morrano	1
7922	morri	2
7923	morrisvil	2
7924	mortal	2
7925	mortar	4
7926	morton	3
7927	moscow	79
7928	mosqu	14
7929	mosquito	1
7930	mossad	1
7931	mostli	45
7932	mostvisit	1
7933	mostwant	7
7934	motahar	1
7935	motel	8
7936	motelapart	1
7937	moth	1
7938	mother	64
7939	motherland	1
7940	motherless	1
7941	motion	11
7942	motiv	19
7943	motley	1
7944	motor	19
7945	motorbik	1
7946	motorcad	11
7947	motorcycl	6
7948	motorist	1
7949	motsak	4
7950	motto	2
7951	mound	11
7952	mount	38
7953	mountain	37
7954	mountainsid	6
7955	mountaintop	1
7956	mourn	21
7957	mourner	12
7958	mourton	1
7959	mouth	4
7960	mouthpiec	3
7961	move	211
7962	movement	37
7963	mover	3
7964	movi	9
7965	moviestar	1
7966	mow	2
7967	moya	10
7968	moynihan	5
7969	moyo	1
7970	mozambiqu	2
7971	mph	16
7972	mr	151
7973	mrclinton	1
7974	ms	4
7975	msnbc	3
7976	msnbccom	2
7977	mtv	1
7978	mubarak	6
7979	much	251
7980	muchawait	1
7981	muchtalkedabout	1
7982	mud	23
7983	mudbrick	2
7984	mudcov	1
7985	muddi	4
7986	muddl	3
7987	mudslid	5
7988	mueller	5
7989	muezzin	1
7990	muffl	3
7991	mug	2
7992	mugab	1
7993	muham	1
7994	muhammad	7
7995	mujahedeen	1
7996	mujahedin	1
7997	mujahid	1
7998	mull	3
7999	mullah	1
8000	mulligan	1
8001	mullin	9
8002	mulshankar	3
8003	multifacet	2
8004	multilingu	1
8005	multimillion	1
8006	multimillionair	3
8007	multimilliondollar	2
8008	multin	4
8009	multiparti	2
8010	multipl	11
8011	multipli	1
8012	multistori	7
8013	multitud	2
8014	mum	2
8015	mumbai	1
8016	munchak	1
8017	mundan	2
8018	munich	1
8019	municip	17
8020	munit	3
8021	muprhi	1
8022	muqbel	1
8023	murder	52
8024	murdoch	1
8025	murk	1
8026	murki	3
8027	murmansk	5
8028	murmosk	1
8029	murousi	1
8030	murphi	21
8031	murray	2
8032	murtza	1
8033	muscl	4
8034	muscular	1
8035	muse	1
8036	museum	7
8037	museummuslim	1
8038	musharraf	4
8039	music	13
8040	musician	2
8041	muslim	58
8042	must	123
8043	mustach	2
8044	muster	1
8045	mustnt	3
8046	mute	9
8047	mutil	2
8048	mutin	1
8049	mutini	7
8050	muttawakil	1
8051	mutter	1
8052	mutual	1
8053	myakka	1
8054	myasthenia	1
8055	mydan	1
8056	myer	4
8057	myong	2
8058	mysteri	17
8059	mystiqu	1
8060	myth	2
8061	mythic	1
8062	n	5
8063	na	6
8064	naacp	1
8065	nab	2
8066	nabil	1
8067	nachtig	4
8068	nacion	1
8069	nadejda	1
8070	nader	12
8071	nadia	1
8072	nadler	1
8073	nadu	1
8074	nagel	1
8075	nagl	1
8076	nagyova	3
8077	nailbit	1
8078	nailstud	2
8079	naina	5
8080	nainabehn	1
8081	nairobi	6
8082	nairri	1
8083	naiv	1
8084	naji	1
8085	najjar	1
8086	nake	2
8087	nam	4
8088	namast	1
8089	nambiar	1
8090	name	162
8091	namesak	1
8092	namrata	5
8093	nanci	3
8094	nanni	1
8095	nanuet	1
8096	naoya	1
8097	nap	2
8098	narayan	2
8099	narayanan	1
8100	narbheram	1
8101	narcot	13
8102	narr	1
8103	narrow	28
8104	narrowlan	1
8105	narrowli	9
8106	nasa	1
8107	nasdaq	1
8108	nashvil	7
8109	nasir	1
8110	nasr	1
8111	nassou	2
8112	nasti	1
8113	nastier	1
8114	natalia	1
8115	nath	1
8116	nati	1
8117	nation	331
8118	nationalist	15
8119	nationwid	21
8120	nativ	18
8121	nato	47
8122	natol	1
8123	natta	1
8124	natter	11
8125	natur	48
8126	nauf	1
8127	navajo	4
8128	naval	108
8129	navarro	1
8130	navasota	1
8131	navel	1
8132	navi	230
8133	navig	2
8134	navnirman	1
8135	navrotski	8
8136	navyblu	1
8137	navyl	1
8138	navymen	2
8139	navytown	1
8140	nazi	3
8141	nb	1
8142	nbc	65
8143	nbcnew	1
8144	nc	5
8145	nd	3
8146	ne	1
8147	near	179
8148	nearbi	66
8149	nearest	1
8150	nearli	115
8151	nearmiracul	1
8152	nearsavag	2
8153	neat	4
8154	neatli	1
8155	neb	1
8156	nebojsa	15
8157	nebraska	4
8158	necess	2
8159	necessari	30
8160	necessarili	8
8161	necessit	3
8162	neck	6
8163	neckandneck	3
8164	ned	1
8165	need	210
8166	needi	1
8167	neediest	1
8168	needl	1
8169	neeman	1
8170	neg	12
8171	negat	1
8172	neglect	2
8173	neglig	4
8174	negoti	63
8175	neighbor	83
8176	neighborhood	54
8177	neighborli	5
8178	neither	38
8179	nelli	1
8180	nelson	8
8181	nemesi	4
8182	nemeth	1
8183	nena	1
8184	nenad	10
8185	nenadov	1
8186	nene	1
8187	neocommunist	7
8188	nepal	8
8189	nephew	5
8190	neruda	2
8191	nerv	5
8192	nervou	12
8193	nervous	4
8194	nese	1
8195	ness	1
8196	nest	1
8197	net	81
8198	netherland	15
8199	network	61
8200	neutral	4
8201	nevada	7
8202	never	143
8203	neversayquit	1
8204	nevertheless	9
8205	nevypolneniy	1
8206	new	401
8207	newark	1
8208	newburi	21
8209	newcomb	1
8210	newer	1
8211	newest	6
8212	newfound	2
8213	newli	34
8214	newlyw	2
8215	newport	2
8216	news	346
8217	newscast	7
8218	newscom	1
8219	newslett	4
8220	newsmagazin	1
8221	newspap	58
8222	newspet	2
8223	newsroom	1
8224	newsstand	1
8225	newsweek	3
8226	newswir	1
8227	next	235
8228	nextdoor	2
8229	nextofkin	1
8230	nexttolast	1
8231	nfl	1
8232	ng	2
8233	ngan	1
8234	ngo	2
8235	ngoc	2
8236	nguessan	2
8237	nguyen	4
8238	nhan	1
8239	nhema	1
8240	ni	10
8241	nic	1
8242	nicaragua	3
8243	nice	10
8244	niceti	1
8245	nich	1
8246	nichola	2
8247	nick	4
8248	nicknam	5
8249	nicodem	2
8250	nicol	3
8251	nicola	8
8252	nidal	1
8253	niec	1
8254	nielsen	1
8255	nien	2
8256	nieto	1
8257	nigeria	7
8258	nigerian	1
8259	night	196
8260	nightclub	3
8261	nightfal	3
8262	nightgown	2
8263	nightli	2
8264	nightmar	6
8265	nightmarish	1
8266	nighttim	5
8267	nighttimeincloud	1
8268	nightvis	1
8269	nikit	1
8270	nikol	2
8271	nikola	3
8272	niksic	2
8273	nimesh	1
8274	nin	2
8275	nina	5
8276	nine	37
8277	ninehour	1
8278	ninepag	1
8279	ninepoint	1
8280	ninestori	1
8281	nineti	1
8282	nineyearold	1
8283	nino	1
8284	ninth	20
8285	nip	2
8286	nirmala	1
8287	nissan	3
8288	nitex	2
8289	nitrat	1
8290	nittygritti	1
8291	nixon	17
8292	nj	6
8293	nm	1
8294	nn	1
8295	nobl	3
8296	nobleman	1
8297	nobodi	39
8298	nod	2
8299	noi	1
8300	nois	6
8301	noisi	1
8302	nolan	1
8303	noman	1
8304	nomin	17
8305	nomine	14
8306	nonchalantli	1
8307	nonclassifi	1
8308	nonclear	1
8309	noncommiss	1
8310	nondiscrimin	1
8311	none	44
8312	nonessenti	3
8313	nonetheless	9
8314	nonexist	5
8315	nongover	1
8316	nongovern	2
8317	nongovernment	1
8318	nonjew	1
8319	nonjewish	1
8320	nonmilitari	1
8321	nonmuslim	1
8322	nonneman	1
8323	nonpartisan	6
8324	nonpolit	2
8325	nonprofit	3
8326	nonsaudi	1
8327	nonsens	1
8328	nonspecif	1
8329	nonstat	1
8330	nonstop	4
8331	nonviol	8
8332	nonword	1
8333	nonyemeni	9
8334	noon	13
8335	norah	1
8336	norfolk	67
8337	norm	3
8338	normal	69
8339	normalci	1
8340	norman	19
8341	north	78
8342	northeast	10
8343	northeastern	6
8344	northern	59
8345	northernbas	3
8346	northup	4
8347	northward	1
8348	northwest	17
8349	northwestern	3
8350	norton	1
8351	norway	14
8352	norwegian	43
8353	norwegianown	1
8354	nose	3
8355	noshow	1
8356	nostalgia	1
8357	notabl	10
8358	notch	4
8359	note	70
8360	notebook	2
8361	noth	81
8362	notic	19
8363	notif	1
8364	notifi	20
8365	notion	4
8366	notori	6
8367	notorieti	1
8368	notr	2
8369	notwithstand	2
8370	nov	38
8371	novel	2
8372	novelist	2
8373	novemb	34
8374	novi	4
8375	novic	1
8376	novost	1
8377	novosti	3
8378	novot	1
8379	now200000	1
8380	nowaday	1
8381	nowdefunct	1
8382	nowdemolish	1
8383	nowdisqualifi	2
8384	nowfugit	1
8385	nowher	8
8386	nowoust	3
8387	npr	9
8388	ns	2
8389	ntsb	5
8390	nuanc	1
8391	nuclear	48
8392	nuclearpow	4
8393	nude	1
8394	nudg	3
8395	nuffer	1
8396	null	1
8397	nullifi	9
8398	numb	1
8399	number	145
8400	numer	21
8401	nun	1
8402	nuria	3
8403	nurs	8
8404	nurtur	2
8405	nuvajubhai	1
8406	nw	1
8407	ny	22
8408	oa	2
8409	oakland	1
8410	oasi	2
8411	oath	13
8412	oathtak	1
8413	oaxa	1
8414	obannon	1
8415	obedi	2
8416	obey	9
8417	obituari	1
8418	object	36
8419	oblig	9
8420	obliqu	1
8421	obliter	2
8422	obrad	1
8423	obradov	3
8424	obrenovac	1
8425	obrien	1
8426	obscen	2
8427	obscur	5
8428	observ	45
8429	observatori	1
8430	obsess	2
8431	obstacl	14
8432	obstinaci	1
8433	obstruct	3
8434	obstructionist	1
8435	obtain	61
8436	obviou	12
