t_index	term	df
617	alisan	2
618	alisha	1
619	alislamiya	2
620	alislaymiyya	1
621	aliv	84
622	aljazeera	3
623	aljefri	1
624	aljihad	1
625	alkhamri	1
626	allafricacom	1
627	allah	1
628	allahabad	2
629	allahbad	1
630	allan	1
631	alleg	72
632	allegedli	23
633	allegi	1
634	allen	22
635	allentown	1
636	alley	2
637	alleyway	3
638	allfranc	1
639	allfrench	2
640	alli	86
641	allianc	10
642	allimport	1
643	alliz	1
644	allnight	2
645	allot	1
646	allow	133
647	allparti	1
648	allstar	1
649	alltim	1
650	allud	2
651	allus	5
652	allwilliam	1
653	alma	1
654	almagor	1
655	almasri	2
656	almegrahi	1
657	almidhar	2
658	almihdar	3
659	almost	118
660	almuhajiroun	3
661	almusawah	3
662	alnaderi	2
663	alnahdi	1
664	alnizali	1
665	alomeri	1
666	alon	39
667	along	118
668	alongsid	39
669	alou	1
670	alowhali	2
671	alpha	2
672	alphabet	3
673	alpin	1
674	alqadhi	2
675	alqaeda	1
676	alqaida	3
677	alreadi	164
678	alribat	1
679	alshahrani	3
680	alsharia	1
681	alsharjani	1
682	alsharq	1
683	alshueib	1
684	also	477
685	alter	8
686	altern	20
687	although	83
688	altitud	1
689	altogeth	4
690	aluminum	2
691	alun	6
692	alwadi	1
693	alway	93
694	alzawahri	2
695	alzindani	1
696	amad	3
697	amanda	17
698	amarillo	2
699	amartej	3
700	amaru	4
701	amass	4
702	amateur	2
703	amaz	10
704	amazingli	1
705	ambassador	47
706	ambersag	1
707	ambigu	1
708	ambit	8
709	ambiti	2
710	ambival	2
711	ambul	11
712	ambush	1
713	ameli	6
714	amend	2
715	amerasian	1
716	america	128
717	american	341
718	americanislam	1
719	americanl	1
720	americanstatesman	1
721	americanyemeni	1
722	americorp	1
723	amh	1
724	ami	2
725	amiabl	2
726	amic	1
727	amid	51
728	amidship	2
729	amin	1
730	amit	1
731	amman	2
732	ammo	1
733	ammonium	1
734	ammunit	22
735	amnesia	2
736	amnesti	2
737	among	182
738	amongst	2
739	amount	30
740	amp	5
741	amphibi	3
742	ampl	2
743	ampli	1
744	amplifi	1
745	amput	12
746	ana	7
747	anacostia	1
748	analges	1
749	analog	1
750	analysi	9
751	analyst	38
752	analyz	5
753	anarch	2
754	anathema	1
755	anatoli	8
756	anca	4
757	ancestor	3
758	ancestr	25
759	ancestri	1
760	anchor	8
761	anchorag	2
762	anchorman	3
763	ancient	4
